frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
112,1.8667,646,474,1119,539,571,1109,472,574,1045,536,574,1109,1071,565,1635,617,494,1110,37,796,832,159
113,1.8833,646,474,1119,537,572,1108,471,576,1046,482,575,1056,1070,566,1635,617,494,1110,37,796,832,159
114,1.9,645,474,1118,536,573,1108,472,575,1046,482,575,1056,1070,566,1635,617,494,1110,37,796,832,159
115,1.9167,645,474,1118,536,573,1108,471,576,1046,481,576,1056,1070,566,1635,617,494,1110,37,796,832,159
116,1.9333,651,468,1118,536,573,1108,472,576,1047,482,576,1057,1070,566,1635,617,494,1110,37,796,832,159
117,1.95,654,468,1121,536,573,1108,472,576,1047,482,576,1057,1070,566,1635,617,494,1110,37,796,832,159
118,1.9667,654,464,1117,536,573,1108,473,576,1048,482,576,1057,1068,568,1635,617,494,1110,37,796,832,159
119,1.9833,654,464,1117,535,574,1108,472,577,1048,481,577,1057,1068,568,1635,617,494,1110,37,796,832,159
120,2.0,654,464,1117,535,574,1108,470,578,1047,481,577,1057,1069,567,1635,617,494,1110,37,796,832,159
121,2.0167,654,464,1117,535,574,1108,472,577,1048,481,577,1057,1069,567,1635,617,494,1110,37,796,832,159
122,2.0333,654,464,1117,535,574,1108,472,577,1048,481,577,1057,1069,567,1635,617,494,1110,37,796,832,159
123,2.05,654,464,1117,535,574,1108,472,577,1048,481,578,1058,1069,567,1635,617,494,1110,37,796,832,159
124,2.0667,651,467,1117,535,574,1108,473,577,1049,481,578,1058,1069,567,1635,617,494,1110,37,796,832,159
125,2.0833,651,467,1117,535,574,1108,473,577,1049,481,578,1058,1069,567,1635,617,494,1110,37,796,832,159
126,2.1,651,467,1117,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
127,2.1167,651,467,1117,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
128,2.1333,651,467,1117,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
129,2.15,651,467,1117,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
130,2.1667,646,472,1117,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
131,2.1833,648,472,1119,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
132,2.2,646,472,1117,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
133,2.2167,646,472,1117,535,574,1108,473,577,1049,482,577,1058,1069,567,1635,617,494,1110,37,796,832,159
134,2.2333,646,472,1117,535,574,1108,473,577,1049,483,577,1059,1069,567,1635,617,494,1110,37,796,832,159
135,2.25,644,474,1117,535,574,1108,473,577,1049,483,577,1059,1069,567,1635,617,494,1110,37,796,832,159
136,2.2667,644,474,1117,535,574,1108,473,577,1049,483,577,1059,1069,567,1635,617,494,1110,37,796,832,159
137,2.2833,646,474,1119,535,574,1108,473,577,1049,484,577,1060,1069,567,1635,617,494,1110,37,796,832,159
138,2.3,649,472,1120,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,616,494,1109,37,796,832,159
139,2.3167,663,458,1120,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
