frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
137,2.2833,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
138,2.3,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
139,2.3167,593,508,1100,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
140,2.3333,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
141,2.35,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
142,2.3667,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
143,2.3833,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
144,2.4,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
145,2.4167,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
146,2.4333,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
147,2.45,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
148,2.4667,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
149,2.4833,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
150,2.5,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
151,2.5167,592,508,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
152,2.5333,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
153,2.55,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
154,2.5667,593,507,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
155,2.5833,592,508,1099,518,580,1097,451,580,1030,521,575,1095,1636,0,1635,0,,,0,,,90
156,2.6,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
157,2.6167,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
158,2.6333,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
159,2.65,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
160,2.6667,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
161,2.6833,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
162,2.7,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
163,2.7167,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
164,2.7333,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
165,2.75,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
166,2.7667,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
167,2.7833,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
168,2.8,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
169,2.8167,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
170,2.8333,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
171,2.85,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
172,2.8667,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
173,2.8833,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
174,2.9,594,506,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
175,2.9167,594,506,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
176,2.9333,594,506,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
177,2.95,594,506,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
178,2.9667,594,506,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
179,2.9833,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
180,3.0,594,506,1099,518,580,1097,451,580,1030,522,576,1097,1636,0,1635,0,,,0,,,90
181,3.0167,594,506,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
182,3.0333,594,506,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
183,3.05,594,506,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
184,3.0667,593,507,1099,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
185,3.0833,592,507,1098,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
186,3.1,592,507,1098,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
187,3.1167,592,507,1098,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
188,3.1333,591,508,1098,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
189,3.15,591,508,1098,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
190,3.1667,591,508,1098,518,580,1097,451,580,1030,523,575,1097,1636,0,1635,0,,,0,,,90
191,3.1833,592,508,1099,590,508,1097,523,508,1030,590,508,1097,1636,0,1635,0,,,0,,,90
192,3.2,592,508,1099,590,508,1097,523,508,1030,590,508,1097,1636,0,1635,0,,,0,,,90
193,3.2167,592,508,1099,590,508,1097,523,508,1030,590,508,1097,1636,0,1635,0,,,0,,,90
194,3.2333,592,508,1099,590,508,1097,523,508,1030,590,508,1097,1636,0,1635,0,,,0,,,90
195,3.25,592,508,1099,590,508,1097,523,508,1030,590,508,1097,1636,0,1635,0,,,0,,,90
196,3.2667,592,508,1099,590,508,1097,523,508,1030,588,510,1097,1636,0,1635,0,,,0,,,90
197,3.2833,592,508,1099,590,508,1097,523,508,1030,586,510,1095,1636,0,1635,0,,,0,,,90
198,3.3,596,504,1099,594,504,1097,529,504,1032,596,504,1099,1636,0,1635,0,,,0,,,90
199,3.3167,602,500,1101,596,503,1098,533,502,1034,597,503,1099,1636,0,1635,567,518,1084,0,,,96
200,3.3333,604,502,1105,598,503,1100,535,502,1036,599,503,1101,1636,0,1635,585,510,1094,0,,,101
201,3.35,607,499,1105,598,502,1099,540,500,1039,599,502,1100,1636,0,1635,595,504,1098,559,522,1080,116
202,3.3667,608,498,1105,597,502,1098,538,502,1039,598,502,1099,1636,0,1635,593,505,1097,564,519,1082,118
203,3.3833,608,500,1107,597,502,1098,540,502,1041,595,505,1099,1636,0,1635,591,507,1097,43,812,854,123
204,3.4,610,498,1107,597,502,1098,538,505,1042,595,505,1099,1636,0,1635,67,800,866,41,813,853,134
205,3.4167,610,500,1109,595,504,1098,539,505,1043,596,505,1100,1636,0,1635,67,800,866,40,814,853,134
206,3.4333,610,498,1107,597,501,1097,541,503,1043,598,502,1099,1636,0,1635,66,799,864,40,813,852,138
207,3.45,610,498,1107,596,502,1097,542,502,1043,596,504,1099,1636,0,1635,66,799,864,40,813,852,140
208,3.4667,608,498,1105,596,502,1097,540,504,1043,595,505,1099,1636,0,1635,66,799,864,40,813,852,140
209,3.4833,608,498,1105,596,502,1097,540,504,1043,598,502,1099,1636,0,1635,66,799,864,40,813,852,140
210,3.5,608,498,1105,596,502,1097,540,504,1043,595,505,1099,1636,0,1635,66,799,864,40,813,852,140
211,3.5167,608,498,1105,596,502,1097,540,504,1043,596,504,1099,1636,0,1635,66,799,864,40,813,852,140
212,3.5333,608,498,1105,598,500,1097,540,504,1043,595,505,1099,1636,0,1635,66,799,864,40,813,852,140
213,3.55,610,496,1105,598,500,1097,540,504,1043,595,505,1099,1636,0,1635,66,799,864,40,813,852,140
214,3.5667,608,498,1105,598,500,1097,540,504,1043,596,504,1099,1636,0,1635,66,799,864,40,813,852,140
215,3.5833,606,500,1105,596,502,1097,540,504,1043,596,504,1099,1636,0,1635,66,799,864,40,813,852,140
216,3.6,527,579,1105,518,580,1097,464,580,1043,524,574,1097,1636,0,1635,66,799,864,40,813,852,140
217,3.6167,527,580,1106,518,580,1097,464,580,1043,525,575,1099,1636,0,1635,65,800,864,40,813,852,140
218,3.6333,525,580,1104,518,580,1097,464,580,1043,524,576,1099,1636,0,1635,65,800,864,40,813,852,140
219,3.65,533,579,1111,517,581,1097,463,581,1043,524,576,1099,1636,0,1635,65,799,863,40,813,852,140
220,3.6667,529,579,1107,517,581,1097,463,581,1043,521,577,1097,1636,0,1635,65,799,863,40,813,852,140
221,3.6833,528,580,1107,517,581,1097,463,581,1043,521,577,1097,1636,0,1635,66,799,864,40,813,852,140
222,3.7,528,580,1107,518,580,1097,464,580,1043,520,578,1097,1636,0,1635,66,799,864,40,813,852,140
223,3.7167,530,578,1107,520,578,1097,466,578,1043,522,576,1097,1636,0,1635,66,799,864,40,813,852,140
224,3.7333,533,575,1107,523,575,1097,469,575,1043,524,574,1097,1636,0,1635,66,799,864,40,813,852,140
225,3.75,535,571,1105,527,571,1097,473,571,1043,528,571,1098,1636,0,1635,66,799,864,40,813,852,140
226,3.7667,541,565,1105,533,565,1097,479,565,1043,535,563,1097,1636,0,1635,66,799,864,40,813,852,140
227,3.7833,551,557,1107,541,557,1097,486,558,1043,543,557,1099,1636,0,1635,65,800,864,40,813,852,140
228,3.8,560,552,1111,546,552,1097,492,552,1043,546,552,1097,1636,0,1635,65,799,863,40,813,852,140
229,3.8167,552,556,1107,541,557,1097,487,557,1043,542,556,1097,1636,0,1635,65,799,863,40,813,852,140
230,3.8333,549,559,1107,537,561,1097,483,561,1043,539,560,1098,1636,0,1635,66,799,864,40,813,852,140
231,3.85,546,562,1107,534,564,1097,479,565,1043,534,564,1097,1636,0,1635,66,799,864,40,813,852,140
232,3.8667,544,564,1107,528,570,1097,474,570,1043,530,568,1097,1636,0,1635,66,799,864,40,813,852,140
233,3.8833,541,567,1107,524,574,1097,471,573,1043,527,571,1097,1636,0,1635,66,799,864,40,813,852,141
234,3.9,539,569,1107,523,575,1097,469,575,1043,524,574,1097,1636,0,1635,66,799,864,40,813,852,141
235,3.9167,539,571,1109,521,577,1097,467,577,1043,524,576,1099,1636,0,1635,66,799,864,40,813,852,140
236,3.9333,534,572,1105,520,578,1097,466,578,1043,523,577,1099,1636,0,1635,66,799,864,40,813,852,140
