frame,capsule_x,capsule_y,capsule_w,capsule_h,capsule_area,title_bright,under_dark,art_color
84,1456,0,359,60,20872,0,8740,3507
85,1456,0,359,60,20872,0,8740,3507
86,1456,0,359,60,20876,0,7661,3506
87,1456,0,359,60,20876,0,7661,3506
88,1456,0,359,60,20876,0,7661,3506
89,1456,0,359,60,20876,0,7661,3506
90,1456,0,359,60,20876,0,7661,3506
91,1456,0,359,60,20876,0,7661,3506
92,1456,0,359,60,20876,0,7661,3506
93,1456,0,359,60,20874,0,7660,3506
94,1456,0,359,60,20876,0,7661,3507
95,1456,0,359,60,20875,0,7660,3507
96,1456,0,359,60,20874,0,7659,3507
97,1456,0,359,60,20875,0,7659,3507
98,1456,0,359,60,20875,0,7659,3507
99,1456,0,359,60,20875,0,7659,3507
100,1456,0,359,60,20875,0,7659,3507
101,1456,0,359,60,20875,0,7659,3507
102,1456,0,359,60,20875,0,7659,3507
103,1456,0,359,60,20875,0,7659,3507
104,1456,0,359,60,20875,0,7659,3507
105,1456,0,359,60,20875,0,7659,3507
106,1456,0,359,60,20875,0,7659,3507
107,1456,0,359,60,20875,0,7659,3507
108,1456,0,359,60,20875,0,7659,3507
109,1456,0,359,60,20875,0,7659,3507
110,1456,0,359,60,20875,0,7659,3507
111,1456,0,359,60,20875,0,7659,3507
112,1456,0,359,60,20874,0,7659,3507
113,1456,0,359,60,20874,0,7659,3507
114,1456,0,359,60,20874,0,7659,3507
115,1456,0,359,60,20874,0,7659,3507
116,1456,0,359,60,20874,0,7659,3507
117,1456,0,359,60,20874,0,7659,3507
118,1457,0,357,60,20863,0,8744,3511
119,1457,0,357,60,20858,0,9040,3521
120,1457,0,357,60,20862,0,8744,3511
121,1457,0,357,60,20857,0,8742,3521
122,1456,0,359,60,20867,0,8741,3507
123,1456,0,359,60,20867,0,8740,3507
124,1456,0,359,60,20869,0,8737,3507
125,1456,0,359,60,20869,0,8739,3507
126,1456,0,359,60,20869,0,9279,3506
127,1456,0,359,60,20871,0,7659,3508
128,1456,0,359,60,20874,0,9281,3508
129,1456,0,359,60,20873,0,7661,3507
130,1456,0,359,60,20876,0,7659,3506
131,1456,0,359,60,20874,0,7659,3507
132,1456,0,359,60,20874,0,7659,3506
133,1456,0,359,60,20875,0,7659,3506
134,1456,0,359,60,20874,0,7659,3507
135,1456,0,359,60,20873,0,7659,3507
136,1456,0,359,60,20873,0,7659,3507
137,1456,0,359,60,20873,0,7659,3507
138,1456,0,359,60,20875,0,7659,3507
139,1456,0,359,60,20873,0,7659,3507
